Track name, Artist name, Album, Playlist name, Type, ISRC
Somewhere Now,Green Day,Revolution Radio,Something,Playlist track,USRE11600426
The Stage,Avenged Sevenfold,The Stage,Something,Playlist track,USUG11600830
The Static Age,Green Day,21st Century Breakdown,Something,Playlist track,USRE10900678
Still Breathing,Green Day,Revolution Radio,Something,Playlist track,USRE11600432
Stop When the Red Lights Flash,Green Day,¡DOS!,Something,Playlist track,USRE11200478
Suzanne,Creeper,Suzanne,Something,Playlist track,GBAHT1600428
Thank You for the Venom,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400664
This Is How I Disappear,My Chemical Romance,The Black Parade,Something,Playlist track,USRE10602905
Through the Fire and Flames,DragonForce,Inhuman Rampage,Something,Playlist track,GBAJE0508258
Time of Dying,Three Days Grace,One-X,Something,Playlist track,USJI10600165
Time That Remains,Three Days Grace,Transit Of Venus,Something,Playlist track,USRC11200918
To the End,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400658
The Trooper,Iron Maiden,Piece of Mind,Something,Playlist track,GBAYE9801390
Unbreakable Heart,Three Days Grace,Transit Of Venus,Something,Playlist track,USRC11200921
Vampire Money,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000919
We Had a Pact,Creeper,Creeper,Something,Playlist track,TCABY1409944
Wild One,Green Day,¡DOS!,Something,Playlist track,USRE11200480
Wow! That's Loud,Green Day,¡DOS!,Something,Playlist track,USRE11200487
You Know What They Do to Guys Like Us in Prison,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400659
Youngblood,Green Day,Revolution Radio,Something,Playlist track,USRE11600433
The Jetset Life Is Gonna Kill You,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400662
S/C/A/R/E/C/R/O/W,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000914
Summertime,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000915
Christian's Inferno,Green Day,21st Century Breakdown,Something,Playlist track,USRE10900669
Lie Awake,Creeper,The Callous Heart,Something,Playlist track,GBAHT1500416
Burn Bright,My Chemical Romance,Number Five,Something,Playlist track,USRE11200627
Fuck Time,Green Day,¡DOS!,Something,Playlist track,USRE11200477
Famous Last Words,My Chemical Romance,The Black Parade,Something,Playlist track,USRE10602914
Give Me Novacaine / She's a Rebel,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10401220
I Never Told You What I Do for a Living,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400668
Keep Your American Dream,Beartooth,Disgusting (Deluxe Edition),Something,Playlist track,USP6L1400188
The Kids from Yesterday,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000917
Misery Loves My Company,Three Days Grace,Transit Of Venus,Something,Playlist track,USRC11200914
Ordinary World,Green Day,Revolution Radio,Something,Playlist track,USRE11600437
Outlaws,Green Day,Revolution Radio,Something,Playlist track,USRE11600430
Restless Heart Syndrome,Green Day,21st Century Breakdown,Something,Playlist track,USRE10900676
"Save Yourself, I'll Hold Them Back",My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000913
Say Goodbye,Green Day,Revolution Radio,Something,Playlist track,USRE11600429
See You Tonight,Green Day,¡DOS!,Something,Playlist track,USRE11200476
SING,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000889
Stray Heart,Green Day,¡DOS!,Something,Playlist track,USRE11200482
Surrender the Night,My Chemical Romance,Number Five,Something,Playlist track,USRE11200626
Teenagers,My Chemical Romance,The Black Parade,Something,Playlist track,USRE10602912
Tomorrow's Money,My Chemical Romance,Number One,Something,Playlist track,USRE11200306
Too Dumb to Die,Green Day,Revolution Radio,Something,Playlist track,USRE11600434
Troubled Times,Green Day,Revolution Radio,Something,Playlist track,USRE11600435
Wake Me up When September Ends,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10400992
Whatsername,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10400994
Vcr,Creeper,Creeper,Something,Playlist track,TCABY1409946
Black Rain - Edit,Creeper,Black Rain (Edit),Something,Playlist track,GBAHT1700068
Down Below,Creeper,"Eternity, In Your Arms",Something,Playlist track,GBAHT1600435
Misery,Creeper,The Stranger,Something,Playlist track,GBAHT1500657
Darling,Creeper,"Eternity, In Your Arms",Something,Playlist track,GBAHT1600438
Kill the DJ,Green Day,¡UNO!,Something,Playlist track,USRE11200245
Devil's Kind,,,Something,Playlist track,GBAHT1600439
Winona Forever,Creeper,"Eternity, In Your Arms",Something,Playlist track,GBAHT1600436
Room 309,Creeper,"Eternity, In Your Arms",Something,Playlist track,GBAHT1600437
Crickets,Creeper,"Eternity, In Your Arms",Something,Playlist track,TCABY1409950
Novena,Creeper,Creeper,Something,Playlist track,GBAFL0400075
Up the Wolves,The Mountain Goats,The Sunset Tree,Something,Playlist track,GBAFL0400071
This Year,The Mountain Goats,The Sunset Tree,Something,Playlist track,GBAFL0400076
Lion's Teeth,The Mountain Goats,The Sunset Tree,Something,Playlist track,USRC11200920
Broken Glass,Three Days Grace,Transit Of Venus,Something,Playlist track,USWB10703995
Afterlife,Avenged Sevenfold,Avenged Sevenfold,Something,Playlist track,USCA28900086
Cliffs Of Dover - Instrumental,Eric Johnson,Ah Via Musicom,Something,Playlist track,USJT11500173
Space Oddity - 2015 Remaster,David Bowie,David Bowie (aka Space Oddity) [2015 Remaster],Something,Playlist track,USJT11500131
Life on Mars? - 2015 Remaster,David Bowie,Hunky Dory (2015 Remaster),Something,Playlist track,GBUM71029610
Don't Stop Me Now - Remastered 2011,Queen,Jazz (Deluxe Remastered Version),Something,Playlist track,USEK71527701
We Own The Night,Dance Gavin Dance,Instant Gratification,Something,Playlist track,USAT20702617
Misery Business,Paramore,Riot!,Something,Playlist track,USDW10110256
The Middle,Jimmy Eat World,Jimmy Eat World,Something,Playlist track,USUM70832584
Savior,Rise Against,Appeal To Reason,Something,Playlist track,USSM10801605
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",Something,Playlist track,GBAYE0800265
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,Something,Playlist track,USJT11200004
Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Something,Playlist track,USSM11002931
Pumped Up Kicks,Foster The People,Torches,Something,Playlist track,USVIC0845501
The Walking Wounded,Bayside,The Walking Wounded (Gold Edition),Something,Playlist track,USMRG1757908
Paid in Cocaine,The Mountain Goats,Goths (Deluxe Version),Something,Playlist track,QMRSZ1600583
Petting Zoo Justice,Dance Gavin Dance,Mothership,Something,Playlist track,TCABP1342485
I Want to Be Buried in Your Backyard,Nightmare Of You,Nightmare of You,Something,Playlist track,TCABP1342481
Thumbelina,Nightmare Of You,Nightmare of You,Something,Playlist track,USRE11700462
Back in the USA,Green Day,Greatest Hits: God's Favorite Band,Something,Playlist track,TCABP1342483
Why Am I Always Right?,Nightmare Of You,Nightmare of You,Something,Playlist track,TCABP1342479
"Dear Scene, I Wish I Were Deaf",Nightmare Of You,Nightmare of You,Something,Playlist track,USUM70603971
Prayer Of The Refugee,Rise Against,The Sufferer & The Witness,Something,Playlist track,USWB11001149
Nightmare,Avenged Sevenfold,Nightmare,Something,Playlist track,USWB11001433
Danger Line,Avenged Sevenfold,Nightmare,Something,Playlist track,USWB11302496
Coming Home,Avenged Sevenfold,Hail to the King,Something,Playlist track,GBAHT1700751
Same Time Next Year?,Creeper,Christmas,Something,Playlist track,GBAHT1700750
Fairytale of New York,Creeper,Christmas,Something,Playlist track,GBAHT1700752
Blue Christmas,Creeper,Christmas,Something,Playlist track,USUM70832580
The Strength To Go On,Rise Against,Appeal To Reason,Something,Playlist track,USJV60700005
Herbal Jazz Cigarette,Nightmare Of You,Bang,Something,Playlist track,USMRG1757905
Unicorn Tolerance,The Mountain Goats,Goths (Deluxe Version),Something,Playlist track,USRE11200397
AMBULANCE,My Chemical Romance,Number Two,Something,Playlist track,US5660602203
Vampires Will Never Hurt You,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,US5660602204
Drowning Lessons,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,US5660602205
Our Lady of Sorrows,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,US5660602206
Headfirst for Halos,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,US5660602208
Early Sunsets Over Monroeville,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,US5660602209
This Is the Best Day Ever,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,US5660602211
Demolition Lovers,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,US5660602201
Romance,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Something,Playlist track,USMRG1757902
Andrew Eldritch Is Moving Back to Leeds,The Mountain Goats,Goths,Something,Playlist track,USRE10602913
Disenchanted,My Chemical Romance,The Black Parade,Something,Playlist track,USRC11200915
